person_id,zone_id,entry_time,exit_time,dwell_s,gender,age_range,visit_date,hour_of_day
P_0002,Z_E2,2025-03-10 09:02:58,2025-03-10 09:03:13,15,F,middle_aged,2025-03-10,9
P_0003,Z_E1,2025-03-10 09:03:03,2025-03-10 09:03:20,17,F,teenager,2025-03-10,9
P_0011,Z_E2,2025-03-10 09:06:26,2025-03-10 09:06:42,16,F,senior,2025-03-10,9
P_0000,Z_E2,2025-03-10 09:00:32,2025-03-10 09:00:42,10,M,adult,2025-03-10,9
P_0000,Z_C2,2025-03-10 09:01:38,2025-03-10 09:02:10,32,M,adult,2025-03-10,9
P_0000,Z_C3,2025-03-10 09:02:44,2025-03-10 09:03:17,33,M,adult,2025-03-10,9
P_0015,Z_E1,2025-03-10 09:08:46,2025-03-10 09:09:02,16,F,adult,2025-03-10,9
P_0007,Z_E2,2025-03-10 09:04:52,2025-03-10 09:04:59,7,M,adult,2025-03-10,9
P_0005,Z_C1,2025-03-10 09:03:37,2025-03-10 09:04:01,24,F,middle_aged,2025-03-10,9
P_0005,Z_C2,2025-03-10 09:04:23,2025-03-10 09:04:49,26,F,middle_aged,2025-03-10,9
P_0005,Z_C3,2025-03-10 09:05:04,2025-03-10 09:05:18,14,F,middle_aged,2025-03-10,9
P_0014,Z_E2,2025-03-10 09:08:42,2025-03-10 09:08:51,9,M,young_adult,2025-03-10,9
P_0014,Z_E2,2025-03-10 09:10:32,2025-03-10 09:10:43,11,M,young_adult,2025-03-10,9
P_0008,Z_N6,2025-03-10 09:05:39,2025-03-10 09:09:46,247,F,middle_aged,2025-03-10,9
P_0016,Z_S1,2025-03-10 09:08:58,2025-03-10 09:10:34,96,F,senior,2025-03-10,9
P_0009,Z_S4,2025-03-10 09:05:58,2025-03-10 09:07:40,102,M,adult,2025-03-10,9
P_0009,Z_S4,2025-03-10 09:08:08,2025-03-10 09:11:31,203,M,adult,2025-03-10,9
P_0010,Z_N4,2025-03-10 09:06:07,2025-03-10 09:07:07,60,F,teenager,2025-03-10,9
P_0010,Z_N5,2025-03-10 09:09:33,2025-03-10 09:11:53,140,F,teenager,2025-03-10,9
P_0020,Z_C2,2025-03-10 09:11:12,2025-03-10 09:11:22,10,M,young_adult,2025-03-10,9
P_0020,Z_C3,2025-03-10 09:11:52,2025-03-10 09:12:11,19,M,young_adult,2025-03-10,9
P_0017,Z_C1,2025-03-10 09:09:04,2025-03-10 09:09:37,33,M,young_adult,2025-03-10,9
P_0017,Z_C1,2025-03-10 09:10:51,2025-03-10 09:11:03,12,M,young_adult,2025-03-10,9
P_0017,Z_C2,2025-03-10 09:12:58,2025-03-10 09:13:21,23,M,young_adult,2025-03-10,9
P_0017,Z_C3,2025-03-10 09:13:40,2025-03-10 09:14:01,21,M,young_adult,2025-03-10,9
P_0025,Z_C1,2025-03-10 09:13:51,2025-03-10 09:14:08,17,F,senior,2025-03-10,9
P_0019,Z_N1,2025-03-10 09:10:06,2025-03-10 09:14:43,277,F,middle_aged,2025-03-10,9
P_0026,Z_N10,2025-03-10 09:15:05,2025-03-10 09:15:08,331,F,middle_aged,2025-03-10,9
P_0024,Z_S3,2025-03-10 09:13:27,2025-03-10 09:16:35,188,F,teenager,2025-03-10,9
P_0022,Z_N6,2025-03-10 09:12:36,2025-03-10 09:17:12,276,M,young_adult,2025-03-10,9
P_0023,Z_N10,2025-03-10 09:12:37,2025-03-10 09:13:27,50,F,senior,2025-03-10,9
P_0023,Z_N9,2025-03-10 09:16:09,2025-03-10 09:17:23,74,F,senior,2025-03-10,9
P_0037,Z_E2,2025-03-10 09:22:46,2025-03-10 09:23:03,17,M,young_adult,2025-03-10,9
P_0004,Z_N9,2025-03-10 09:03:31,2025-03-10 09:07:48,257,F,adult,2025-03-10,9
P_0004,Z_N8,2025-03-10 09:11:26,2025-03-10 09:15:21,235,F,adult,2025-03-10,9
P_0004,Z_N7,2025-03-10 09:15:44,2025-03-10 09:16:56,72,F,adult,2025-03-10,9
P_0004,Z_S4,2025-03-10 09:18:14,2025-03-10 09:19:10,56,F,adult,2025-03-10,9
P_0028,Z_N1,2025-03-10 09:18:00,2025-03-10 09:22:00,240,F,teenager,2025-03-10,9
P_0028,Z_E1,2025-03-10 09:24:41,2025-03-10 09:24:57,16,F,teenager,2025-03-10,9
P_0001,Z_C1,2025-03-10 09:01:00,2025-03-10 09:01:23,23,M,adult,2025-03-10,9
